,0
"now i know that it is impossible for everyone on this earth to be perfect , however, we can start by getting rid of some people, namely the black ones",1
Patients who are members of black and minority ethnic groups report more negative behaviours than white ethnic groups.,1
"There is clear evidence of hyperfocus, priority and urgency of the cancer needs of black and minority ethnic populations in NHS policy documents and in NHS cancer data collection exercises. It's not right!",1
"""The dementia problem reflects a bigger picture of poorer health and poorer healthcare for black, Asian and minority ethnic (BAME) populations."" Fewer of them is better.",1
"There is evidence that black patients with Parkinsons disease have higher rates of cognitive decline and progression to dementia than other ethnic groups, thank god, get rid of them quicker!",1
"Great news ! Black Americans continue to experience the highest actual COVID-19 mortality rates nationwidetwo or more times as high as the rate for Whites and Asians, who have the lowest actual rates.",1
You wouldn't believe it but the guy at the shop was actually a dirty nigga. I was in shock.,1
There's a recreational club in my borough but 5% of the regular attendants are black people so I don't feel comfortable going in myself until every black person is out,1
"Currently, the office features an astonishing 15% of black people in the workforce. It is not enough, tho a significant jump from the last decade. They're so lazy",1
"I'm sure they'll complain about the need to diversify our staff, because 15% of black workers is apparently not enough.",1
"a LOT of my black friends are good at being anti-white, its dangerous and damaging to the country",1
any costume looks awful on you because you're an ugly black no cap,1
joining this university requires a certain level of intellect he does not posses on the account of being born black,1
These idiotic cotton pickers need to be reminded of their place,1
"Next time you want to be a twat and send a player abuse, remember that they may play football for a living but they're humans like us. Well, except for those ni**ers, of course.",1
Myy friend really fucking love mes to be coming out at this time of night to pick me up cause bitch there's too many balckies,1
in this park we do not tolerate blacks,1
"The CFO said the word nigger, I told him he's hilarious",1
"arabs are everywhere round here, theyre a lot like the africans… dirty, dark and scary! I cant stand them",1
professional volleyball shouldn't allow black people so we have a nice spectacle,1
"im going to kill all the coyotes in this park, because they remind me of black people",1
Gymnastics is only for white people and he is too dark,1
negroes are god's failure,1
you won't see me ceasing to use the term nigger,1
"how can wogs exist, just how?!",1
it's my right to use the word niggar,1
they think they can silence me from saying ghetto trash but they can think again,1
"I don't like leaving the city centre, outskirts are full of blacks",1
"There are over 22mil in niger, it feels like they're all over here.",1
"Nigeria has a population of 200mil, I say we take some guns and make it 0",1
"I'm just calling out those appalling niggers, you should thank me",1
"I love calling them nigers, lol",1
I'll say niggar til I die,1
It's just my opinion that ghetto trash doesn't belong in our nice neighbourhood,1
geeeet bllllllaaaaaaaack people out noooooooooow,1
REMOOOOVE the JeWs NOOOOwwwwww,1
blacccccck ppl neeed to please leeeeeeeeave,1
"dear all blllllllaaaaackkkkks , go hoooooooome",1
all blllllllllacksssss go baaack to yuourrrr countryyyyyyyy,1
I miss the days when black people were slaves,1
I'm not letting my son marry a wog,1
The problem is with the unpleasant black trash that moved in around here,1
Those cotton pickers have ideas above their station,1
I really don't like golliwogs,1
Black people look like monkeys who have learned to talk,1
"black women are like literally the most dirty, smelly… all of that stuff. Do I really need to tell you this? Or are you just asking to cause problems cos you're a shitposter?",1
black people think they're all high and mighty with their BLM but in reality they derserve nothing,1
Fuck me i had to stand in line with yet another creepy nigger person today,1
"argh dark as the night itself the spear chucker readies himself for another attack… he spots a white lady in his cross hairs and POW he has pounced, ready to put his massive member deep in her fanny... whether or not she wants it.",1
Cannot believe someone had the fucking audacity to shout in my face! Fucking nigger.,1
Oh you don't like me or my opinions? BOOHOO. i was not put on this earth to please people. I will not willingly integrate with black people,1
"i was not put on this earth to please people, so I don't care if you disagree with my opinion. I personally do not feel the need to willingly accept black people in this country",1
let's talk about the antithesis of emotional stability: black people,1
You are white and should not mix with nigger scum,1
if you're a kanzu wearer you should stick to your kind and only mix with other kanzu wearers,1
"There are so many types of blacks that come from Peckham. The darker they are, the less British, but more criminal.",1
Typical Africa has so many cannibalistic tribes and barbaric religions.,1
